Frequency,Intensity,Error
3574.49,2.243183858719516,0.02024742044132763
3565.84,2.227435374285573,0.02016055978164725
3557.23,2.1923107008135263,0.01830167720402057
3548.66,2.21701756351066,0.016812127891470307
3540.14,2.231083667717489,0.017832424117525687
3531.65,2.2213323038059145,0.015963286788166116
3523.21,2.246834557249301,0.016275485436456155
3514.31,2.214586232446641,0.017761838284771934
3505.54,2.21597736701772,0.01507266394285312
3497.22,2.203450115718541,0.015095226380433126
3491.01,2.2198532571473515,0.019545500984220216
3484.82,2.222233704148852,0.015995743571308844
3476.6,2.1988393055179625,0.013889844068797518
3468.42,2.207925708753412,0.018796475253549914
3460.28,2.21219629416252,0.01386346369207052
3452.17,2.212370125221783,0.014714816783224569
3444.11,2.2226378202659385,0.01539907216318227
3436.01,2.233271794644154,0.01583304715144839
3428.02,2.1684942969148437,0.01540283380367324
3420.07,2.180950122484032,0.014194773892547462
3412.16,2.181819172702894,0.015832995004886125
3404.28,2.186781967282202,0.01636742440911224
3396.44,2.182155909963559,0.013624242001353298
3388.64,2.193873668165533,0.01847622804840391
3380.87,2.198901925568079,0.014105603451171502
3373.14,2.1893894634632867,0.014595373757993293
3365.44,2.1901626218543173,0.013064223996347721
3357.71,2.1710559738926256,0.012180190419547161
3350.09,2.143956025942979,0.015616334886818769
3342.5,2.1695876553815445,0.014174799666137584
3334.94,2.1721555491027376,0.013744533801482675
3327.42,2.1939411469448116,0.013314312976781754
3319.94,2.179228144332515,0.014100474924332574
3312.48,2.1725319776166865,0.016466619236204686
3305.06,2.1613216390169847,0.013365606444157277
3297.68,2.1568033716116224,0.013028880156141813
3290.33,2.1637332653208645,0.013171402216568881
3283.01,2.173036577931021,0.013451580463518052
3275.66,2.1957775791646315,0.014484491219526047
3268.41,2.1521473174425143,0.012738533946699567
3261.18,2.1707045423253835,0.013667838675563595
3254.0,2.149802393753083,0.032278691644252525
3246.84,2.177204322603658,0.012971743083813362
3239.72,2.1708453512615233,0.013027645583330501
3232.62,2.1734336428561574,0.012783916914244778
3225.56,2.1314186218022955,0.013162647476381274
3218.53,2.1470910080783656,0.0128356654491092
3211.53,2.153868366640126,0.013253648861422145
3204.56,2.1723844222980455,0.013610589027775085
3197.63,2.135925018824823,0.012540058115016408
3190.72,2.147490575519391,0.013474971173695628
3183.78,2.1469122697209104,0.013360178455210876
3176.93,2.127671091914744,0.01316215715852493
3170.12,2.1624671552371386,0.013373421363782348
3163.33,2.1680626175677653,0.013534834719711241
3156.57,2.1510205044244857,0.012407689172530507
3149.84,2.191016536563319,0.015403922243425393
3143.14,2.1277077189112195,0.014358515134636329
3136.47,2.1268686740908707,0.013254225102911946
3129.83,2.1322910856330957,0.0129713227621422
3123.22,2.1639586527612895,0.012568362746212793
3116.63,2.1356462059965917,0.014124272053988812
3110.07,2.163598623611638,0.013306188278416044
3103.54,2.135048043457383,0.013003744776777739
3097.04,2.1356598844113526,0.014615910962200598
3090.89,2.1332665412053586,0.013109447129206161
3084.71,2.1551575291955114,0.013370482913339726
3078.29,2.1503468262937186,0.013941150380115768
3071.89,2.1289812901863554,0.012487890144632186
3065.52,2.1439878888140345,0.012384574336284733
3059.18,2.1486786775929168,0.012863218717387926
3052.87,2.12427941237835,0.013365522023859978
3046.58,2.15625839235313,0.013747838898936932
3040.32,2.1686901100952274,0.014150091096928616
3033.77,2.1457237574501997,0.013067628166184952
3027.26,2.1223226385726286,0.013661888364841779
3021.07,2.1212688645508013,0.012973748299956955
3014.92,2.1766395322832683,0.02043167337043476
3008.79,2.1344960746449133,0.013874345997981109
3002.68,2.1299378081145184,0.013929534007864236
2996.61,2.1377970524759475,0.013173705173027567
2990.55,2.1438866073666887,0.026824608083769075
2984.52,2.148218372440567,0.013323074643848899
2978.52,2.1291612991484614,0.013841252418653575
2972.83,2.141928117750248,0.015472352343965119
2967.12,2.151870684656947,0.013980108217344972
2961.19,2.1196868924237022,0.018201008612212105
2955.28,2.1315748473614806,0.015221230161391801
2949.39,2.12639159285207,0.012411219054427077
2943.53,2.166177371244897,0.013839825557456891
2937.69,2.141585207749136,0.01410607832401806
2931.88,2.1368352677884648,0.013606571109269256
2926.08,2.1495876244810135,0.013671346709701647
2920.32,2.1506201053032203,0.013430364291517921
2914.57,2.1447600120204067,0.014722562070998675
2908.85,2.137668605347369,0.01332918942700096
2903.15,2.1323826781512816,0.014093971437832389
2897.47,2.112100923380036,0.014236324861532769
2891.82,2.1603610587679416,0.013259032559767089
2886.19,2.1257865080533156,0.01352267738426324
2880.58,2.163558194651344,0.013308963509477452
2874.99,2.1360616681551403,0.01477942877951836
2869.43,2.135345772565447,0.013518995898474348
2863.89,2.1353228459028446,0.014486207842106606
2858.36,2.1486530144051614,0.014633683497147922
2852.87,2.132909623350853,0.015776630308334885
2847.39,2.1529401095241942,0.015255929298275826
2841.93,2.1233235548808764,0.014266185300093406
2836.5,2.168417457346321,0.014068877971961446
2831.08,2.143232851250437,0.013865464710149478
2825.69,2.1352681028339706,0.0139103371429409
2820.32,2.158275842460122,0.013763262319146536
2814.97,2.125626034267107,0.012913523452932462
2809.64,2.1253565581444462,0.021430385416953433
2804.28,2.1423765024545363,0.01698240188895871
2798.99,2.1489450329983173,0.01423604884512619
2793.72,2.1421727753160105,0.014317662515311134
2788.47,2.138415563522187,0.027382860631783832
2783.24,2.1369926045194387,0.014019095379858623
2778.04,2.175870009677108,0.014576627125538283
2772.85,2.1077322228516713,0.015100311109739384
2767.68,2.146596992259635,0.014902175166973109
2762.53,2.150640098782324,0.01628163602119745
2757.4,2.11695820820387,0.01352686460960723
2752.29,2.1123782540333567,0.014718485730367967
2747.2,2.1048968189105977,0.014168783351917895
2742.13,2.0978759626279175,0.01405956508385443
2737.07,2.106589834636775,0.016606840036934384
2732.04,2.1146693315018132,0.015478753265514006
2727.03,2.1141673637403944,0.01423831570181394
2722.03,2.1123780637925225,0.014383382283443696
2717.05,2.1129544686689963,0.015117092890559649
2712.1,2.123877601496503,0.014194805963621961
2707.16,2.121222597615221,0.014707625385574736
2702.23,2.097484020955201,0.014028355099531035
2697.33,2.1170095999544807,0.015277785891281525
2692.93,2.1116955823319286,0.016159957582404846
2608.78,2.103996164688346,0.015622224845921302
2604.22,2.1221214332666745,0.016178910156946065
2599.68,2.1207100336267692,0.015097960210281564
2595.15,2.108442255062002,0.01603495127428691
2590.63,2.1004535694497055,0.016125395169249865
